originregion_id,originregion_name,destinationregion_id,destinationregion_name,regionflow_1990,regionflow_1995,regionflow_2000,regionflow_2005,xxx,origin_iso,origin_name,destination_iso,destination_name,countryflow_1990,countryflow_1995,countryflow_2000,countryflow_2005,origin_show,destination_show
1,North America,2,Africa,103553,15550,35446,63080,,USA,United States,LBR,Liberia,939,8403,0,13221,1,1
1,North America,2,Africa,103553,15550,35446,63080,,USA,United States,LBY,Libya,111,0,341,528,1,1
1,North America,2,Africa,103553,15550,35446,63080,,USA,United States,MAR,Morocco,0,0,7,10,1,1
1,North America,2,Africa,103553,15550,35446,63080,,USA,United States,MLI,Mali,179,0,0,0,1,1
1,North America,2,Africa,103553,15550,35446,63080,,USA,United States,MOZ,Mozambique,20,0,0,0,1,1
1,North America,2,Africa,103553,15550,35446,63080,,USA,United States,MWI,Malawi,24,0,0,0,1,1
1,North America,2,Africa,103553,15550,35446,63080,,USA,United States,NGA,Nigeria,27,0,0,0,1,1
1,North America,2,Africa,103553,15550,35446,63080,,USA,United States,RWA,Rwanda,0,1095,42,722,1,1
1,North America,2,Africa,103553,15550,35446,63080,,USA,United States,SDN,Sudan,465,0,544,0,1,1
1,North America,2,Africa,103553,15550,35446,63080,,USA,United States,SEN,Senegal,441,0,0,0,1,1
1,North America,2,Africa,103553,15550,35446,63080,,USA,United States,SLE,Sierra Leone,193,20,5664,0,1,1
1,North America,2,Africa,103553,15550,35446,63080,,USA,United States,SOM,Somalia,0,0,0,0,1,1
1,North America,2,Africa,103553,15550,35446,63080,,USA,United States,SSD,South Sudan,0,0,1583,11165,1,1
1,North America,2,Africa,103553,15550,35446,63080,,USA,United States,TCD,Chad,9,0,1018,0,1,1
1,North America,2,Africa,103553,15550,35446,63080,,USA,United States,TGO,Togo,138,82,42,51,1,1
1,North America,2,Africa,103553,15550,35446,63080,,USA,United States,TZA,Tanzania,290,0,0,1026,1,1
1,North America,2,Africa,103553,15550,35446,63080,,USA,United States,UGA,Uganda,53,30,470,906,1,1
1,North America,2,Africa,103553,15550,35446,63080,,USA,United States,ZAF,South Africa,55951,171,15415,15712,1,1
1,North America,2,Africa,103553,15550,35446,63080,,USA,United States,ZMB,Zambia,280,0,8,14,1,1
1,North America,2,Africa,103553,15550,35446,63080,,USA,United States,ZWE,Zimbabwe,181,0,0,0,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,CAN,Canada,ALB,Albania,0,17,26,35,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,CAN,Canada,AUT,Austria,2576,128,1796,2162,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,CAN,Canada,BEL,Belgium,2355,386,2079,2586,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,CAN,Canada,BGR,Bulgaria,52,51,218,327,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,CAN,Canada,BIH,Bosnia & Herzegovina,0,6101,0,0,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,CAN,Canada,CHE,Switzerland,3265,144,2311,2063,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,CAN,Canada,CZE,Czech Republic,1555,510,242,4314,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,CAN,Canada,DEU,Germany,63175,2929,11968,16084,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,CAN,Canada,DNK,Denmark,825,467,475,1086,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,CAN,Canada,ESP,Spain,6247,1967,23442,18616,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,CAN,Canada,FRA,France,2784,53,2529,2319,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,CAN,Canada,GBR,United Kingdom,8957,4016,19390,21299,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,CAN,Canada,GRC,Greece,19651,3054,4821,4051,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,CAN,Canada,HRV,Croatia,379,241,11,29,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,CAN,Canada,HUN,Hungary,1467,4395,1678,2402,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,CAN,Canada,IRL,Ireland,2869,1782,2309,582,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,CAN,Canada,ITA,Italy,1225,494,31219,39209,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,CAN,Canada,NLD,Netherlands,2047,406,1635,1600,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,CAN,Canada,NOR,Norway,539,275,1335,3231,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,CAN,Canada,POL,Poland,146,7,1003,1266,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,CAN,Canada,PRT,Portugal,22341,1407,1058,821,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,CAN,Canada,ROU,Romania,88,58,1162,1321,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,CAN,Canada,SRB,Serbia,1446,1285,1,42,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,CAN,Canada,SWE,Sweden,3084,309,520,1697,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,USA,United States,ALB,Albania,0,21,1171,3226,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,USA,United States,AUT,Austria,16008,6,24528,28405,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,USA,United States,BEL,Belgium,13782,36,17063,18602,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,USA,United States,BGR,Bulgaria,309,11,2704,4489,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,USA,United States,BIH,Bosnia & Herzegovina,0,9280,399,430,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,USA,United States,CHE,Switzerland,29935,17,45455,48262,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,USA,United States,CZE,Czech Republic,3770,297,5828,29070,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,USA,United States,DEU,Germany,370089,1792,89863,105286,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,USA,United States,DNK,Denmark,4863,142,4795,9962,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,USA,United States,ESP,Spain,34221,723,258392,189955,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,USA,United States,FRA,France,33524,3,38717,32583,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,USA,United States,GBR,United Kingdom,42672,698,130735,140824,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,USA,United States,GRC,Greece,70210,0,37499,34629,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,USA,United States,HRV,Croatia,2715,131,1297,2710,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,USA,United States,HUN,Hungary,6197,5510,13920,18801,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,USA,United States,IRL,Ireland,8338,380,31064,9581,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,USA,United States,ITA,Italy,4871,591,207371,255654,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,USA,United States,NLD,Netherlands,15174,20,13758,13085,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,USA,United States,NOR,Norway,5438,141,8878,22454,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,USA,United States,POL,Poland,1599,0,16399,21134,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,USA,United States,PRT,Portugal,56631,58,10035,8558,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,USA,United States,ROU,Romania,602,5,9293,10268,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,USA,United States,SRB,Serbia,10837,1719,48,26930,1,1
1,North America,3,Europe,912783,56817,1105368,1215929,,USA,United States,SWE,Sweden,13306,106,8141,18933,1,1
1,North America,4,Fmr Soviet Union,8211,1336,15683,112823,,CAN,Canada,ARM,Armenia,0,0,0,0,1,1
1,North America,4,Fmr Soviet Union,8211,1336,15683,112823,,CAN,Canada,AZE,Azerbaijan,0,0,2,35,1,1
1,North America,4,Fmr Soviet Union,8211,1336,15683,112823,,CAN,Canada,BLR,Belarus,509,68,14,132,1,1
1,North America,4,Fmr Soviet Union,8211,1336,15683,112823,,CAN,Canada,GEO,Georgia,0,0,0,0,1,1
1,North America,4,Fmr Soviet Union,8211,1336,15683,112823,,CAN,Canada,KAZ,Kazakhstan,1,0,55,1571,1,1
1,North America,4,Fmr Soviet Union,8211,1336,15683,112823,,CAN,Canada,KGZ,Kyrgyzstan,0,0,0,0,1,1
1,North America,4,Fmr Soviet Union,8211,1336,15683,112823,,CAN,Canada,LTU,Lithuania,0,0,61,111,1,1
1,North America,4,Fmr Soviet Union,8211,1336,15683,112823,,CAN,Canada,LVA,Latvia,57,21,45,81,1,1
1,North America,4,Fmr Soviet Union,8211,1336,15683,112823,,CAN,Canada,MDA,Moldova,7,0,0,23,1,1
1,North America,4,Fmr Soviet Union,8211,1336,15683,112823,,CAN,Canada,RUS,Russia,2318,977,210,2093,1,1
1,North America,4,Fmr Soviet Union,8211,1336,15683,112823,,CAN,Canada,TJK,Tajikistan,0,0,0,0,1,1
1,North America,4,Fmr Soviet Union,8211,1336,15683,112823,,CAN,Canada,UKR,Ukraine,291,0,16,612,1,1
1,North America,4,Fmr Soviet Union,8211,1336,15683,112823,,CAN,Canada,UZB,Uzbekistan,0,0,0,14,1,1
1,North America,4,Fmr Soviet Union,8211,1336,15683,112823,,USA,United States,ARM,Armenia,0,0,0,0,1,1
1,North America,4,Fmr Soviet Union,8211,1336,15683,112823,,USA,United States,AZE,Azerbaijan,1,0,18,893,1,1
1,North America,4,Fmr Soviet Union,8211,1336,15683,112823,,USA,United States,BLR,Belarus,523,0,988,2092,1,1
1,North America,4,Fmr Soviet Union,8211,1336,15683,112823,,USA,United States,GEO,Georgia,0,0,0,1,1,1
1,North America,4,Fmr Soviet Union,8211,1336,15683,112823,,USA,United States,KAZ,Kazakhstan,0,0,1483,41206,1,1
1,North America,4,Fmr Soviet Union,8211,1336,15683,112823,,USA,United States,KGZ,Kyrgyzstan,0,232,0,4,1,1
1,North America,4,Fmr Soviet Union,8211,1336,15683,112823,,USA,United States,LTU,Lithuania,85,0,1496,2011,1,1
1,North America,4,Fmr Soviet Union,8211,1336,15683,112823,,USA,United States,LVA,Latvia,473,17,666,1100,1,1
1,North America,4,Fmr Soviet Union,8211,1336,15683,112823,,USA,United States,MDA,Moldova,138,0,0,477,1,1
1,North America,4,Fmr Soviet Union,8211,1336,15683,112823,,USA,United States,RUS,Russia,3048,1,8099,40228,1,1
1,North America,4,Fmr Soviet Union,8211,1336,15683,112823,,USA,United States,TJK,Tajikistan,0,0,0,17,1,1
1,North America,4,Fmr Soviet Union,8211,1336,15683,112823,,USA,United States,UKR,Ukraine,341,0,2238,19157,1,1
1,North America,4,Fmr Soviet Union,8211,1336,15683,112823,,USA,United States,UZB,Uzbekistan,11,0,17,117,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,CAN,Canada,ARE,United Arab Emirates,0,0,0,9,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,CAN,Canada,IRQ,Iraq,31,0,0,0,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,CAN,Canada,ISR,Israel,6829,606,510,1821,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,CAN,Canada,JOR,Jordan,1383,6,0,285,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,CAN,Canada,KWT,Kuwait,0,0,0,0,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,CAN,Canada,LBN,Lebanon,4427,10,0,77,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,CAN,Canada,OMN,Oman,0,0,0,0,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,CAN,Canada,PSE,Palestine,364,0,0,0,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,CAN,Canada,QAT,Qatar,0,0,0,157,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,CAN,Canada,SAU,Saudi Arabia,0,0,0,0,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,CAN,Canada,SYR,Syria,0,0,0,465,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,CAN,Canada,TUR,Turkey,652,4,1299,2121,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,CAN,Canada,YEM,Yemen,311,0,0,0,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,USA,United States,ARE,United Arab Emirates,802,0,649,4530,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,USA,United States,IRQ,Iraq,1364,1,0,8,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,USA,United States,ISR,Israel,48333,55,24544,64692,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,USA,United States,JOR,Jordan,5853,7,0,441,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,USA,United States,KWT,Kuwait,0,0,12,12,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,USA,United States,LBN,Lebanon,20503,14,0,118,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,USA,United States,OMN,Oman,1,0,0,0,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,USA,United States,PSE,Palestine,4915,0,0,801,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,USA,United States,QAT,Qatar,0,0,143,1709,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,USA,United States,SAU,Saudi Arabia,87,0,2134,0,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,USA,United States,SYR,Syria,1,0,162,716,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,USA,United States,TUR,Turkey,4661,2,33699,46767,1,1
1,North America,5,West Asia,106989,1083,68064,130359,,USA,United States,YEM,Yemen,1813,0,0,0,1,1
1,North America,6,South Asia,60182,457,62788,158,,CAN,Canada,AFG,Afghanistan,0,0,0,0,1,1
1,North America,6,South Asia,60182,457,62788,158,,CAN,Canada,BGD,Bangladesh,502,103,0,0,1,1
1,North America,6,South Asia,60182,457,62788,158,,CAN,Canada,IND,India,0,0,0,0,1,1
1,North America,6,South Asia,60182,457,62788,158,,CAN,Canada,IRN,Iran,0,0,4131,1,1,1
1,North America,6,South Asia,60182,457,62788,158,,CAN,Canada,LKA,Sri Lanka,0,0,0,0,1,1
1,North America,6,South Asia,60182,457,62788,158,,CAN,Canada,NPL,Nepal,0,0,0,0,1,1
1,North America,6,South Asia,60182,457,62788,158,,CAN,Canada,PAK,Pakistan,0,0,0,0,1,1
1,North America,6,South Asia,60182,457,62788,158,,USA,United States,AFG,Afghanistan,20308,0,2619,0,1,1
1,North America,6,South Asia,60182,457,62788,158,,USA,United States,BGD,Bangladesh,3837,186,395,0,1,1
1,North America,6,South Asia,60182,457,62788,158,,USA,United States,IND,India,27,0,0,0,1,1
1,North America,6,South Asia,60182,457,62788,158,,USA,United States,IRN,Iran,35502,158,55607,145,1,1
1,North America,6,South Asia,60182,457,62788,158,,USA,United States,LKA,Sri Lanka,0,0,0,0,1,1
1,North America,6,South Asia,60182,457,62788,158,,USA,United States,NPL,Nepal,0,0,0,0,1,1
1,North America,6,South Asia,60182,457,62788,158,,USA,United States,PAK,Pakistan,0,0,0,0,1,1
1,North America,7,East Asia,17696,16407,21304,39145,,CAN,Canada,CHN,China,647,1300,253,642,1,1
1,North America,7,East Asia,17696,16407,21304,39145,,CAN,Canada,HKG,Hong Kong,1613,12596,0,0,1,1
1,North America,7,East Asia,17696,16407,21304,39145,,CAN,Canada,JPN,Japan,1716,1201,0,185,1,1
1,North America,7,East Asia,17696,16407,21304,39145,,CAN,Canada,KOR,South Korea,779,842,981,1191,1,1
1,North America,7,East Asia,17696,16407,21304,39145,,USA,United States,CHN,China,1633,20,5373,11317,1,1
